,osm_address,district
495,"Москва, улица Миклухо-Маклая, 19",Обручевский район
496,"Москва, улица Миклухо-Маклая, 21",Обручевский район
497,"Москва, улица Миклухо-Маклая, 55",район Коньково
498,"Москва, улица Академика Миллионщикова, 7",район Нагатино-Садовники
499,"Москва, проспект Мира, 5",Напрудное
500,"Москва, проспект Мира, 29",Напрудное
501,"Москва, проспект Мира, 31",Напрудное
502,"Москва, проспект Мира, 40",Напрудное
503,"Москва, проспект Мира, 47",Напрудное
504,"Москва, проспект Мира, 48",Напрудное
505,"Москва, проспект Мира, 49",Напрудное
